NAME,STATUS,Name
E1401,Halal,Modified Starch
E1402,Halal,Alkaline Modified Starch
E1403,Halal,Bleached Starch
E1404,Halal,Oxidised Starch
E1405,HARAM,Enzyme Treated Starch
E1410,HARAM,Phosphate
E1412,HARAM,Distarch Phosphate
E1413,Halal,Phoshated Distarch Phosphate
E1414,Halal,Acetylated Distarch Phosphate
E1420,Halal,Acetylated Starch
E1421,Halal,Acetylated Starch
E1422,Halal,Acetylated Distarch Adipate
E1423,HARAM,Acetylated Distarch Glycerol
E1430,HARAM,Distarch Glycerine
E1440,Halal,Hydroxypropyl Starch
E1441,HARAM,Hydroxy Propyl Distarch Glycerine
E1442,Halal,Hydroxypropyl Distarch Phosphate
E1443,HARAM,Hydroxy Propyl Starch Glycerol
E1450,Halal,Starch Sodium Octenyl Succinate
E1451,Halal,Acetylated Oxidised Starch
E1505,Halal,Triethyl Citrate
E1510,HARAM,Ethanol
E1517,HARAM,Diacetate
E1518,HARAM,Glyceryl Triacetate
E1519,Halal,Benzyl Alcohol
E1520,Halal,Propylene Glycol
